"_time","source_subnet","ip_dst","unique_scanners","ports_scanned","total_packets","alert_severity","alert_message"
"2024-08-19T17:00:00.000-0500","79.124.62.0/24","203.161.44.208",3,13,26,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.124.62.0/24 scanning 203.161.44.208"
"2024-08-19T17:10:00.000-0500","79.110.62.0/24","203.161.44.208",3,13,26,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.110.62.0/24 scanning 203.161.44.208"
"2024-08-19T17:10:00.000-0500","79.124.62.0/24","203.161.44.208",3,8,16,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.124.62.0/24 scanning 203.161.44.208"
"2024-08-19T17:20:00.000-0500","194.26.29.0/24","203.161.44.208",4,6,10,CRITICAL,"Coordinated botnet scan: 4 IPs from 194.26.29.0/24 scanning 203.161.44.208"
"2024-08-19T17:20:00.000-0500","79.124.62.0/24","203.161.44.208",3,7,14,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.124.62.0/24 scanning 203.161.44.208"
"2024-08-19T17:30:00.000-0500","79.110.62.0/24","203.161.44.208",4,15,29,CRITICAL,"Coordinated botnet scan: 4 IPs from 79.110.62.0/24 scanning 203.161.44.208"
"2024-08-19T17:30:00.000-0500","79.124.62.0/24","203.161.44.208",3,9,18,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.124.62.0/24 scanning 203.161.44.208"
"2024-08-19T17:40:00.000-0500","194.26.29.0/24","203.161.44.208",6,8,16,CRITICAL,"Coordinated botnet scan: 6 IPs from 194.26.29.0/24 scanning 203.161.44.208"
"2024-08-19T17:50:00.000-0500","79.124.62.0/24","203.161.44.208",3,6,12,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.124.62.0/24 scanning 203.161.44.208"
"2024-08-19T18:00:00.000-0500","79.110.62.0/24","203.161.44.208",3,15,30,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.110.62.0/24 scanning 203.161.44.208"
"2024-08-19T18:00:00.000-0500","79.124.62.0/24","203.161.44.208",3,9,18,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.124.62.0/24 scanning 203.161.44.208"
"2024-08-19T18:20:00.000-0500","79.110.62.0/24","203.161.44.208",3,16,32,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.110.62.0/24 scanning 203.161.44.208"
"2024-08-19T18:20:00.000-0500","79.124.62.0/24","203.161.44.208",4,7,15,CRITICAL,"Coordinated botnet scan: 4 IPs from 79.124.62.0/24 scanning 203.161.44.208"
"2024-08-19T18:30:00.000-0500","194.26.29.0/24","203.161.44.208",4,6,12,CRITICAL,"Coordinated botnet scan: 4 IPs from 194.26.29.0/24 scanning 203.161.44.208"
"2024-08-19T18:30:00.000-0500","79.110.62.0/24","203.161.44.208",3,14,28,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.110.62.0/24 scanning 203.161.44.208"
"2024-08-19T18:40:00.000-0500","194.26.29.0/24","203.161.44.208",3,6,11,CRITICAL,"Coordinated botnet scan: 3 IPs from 194.26.29.0/24 scanning 203.161.44.208"
"2024-08-19T18:50:00.000-0500","194.26.29.0/24","203.161.44.208",4,6,12,CRITICAL,"Coordinated botnet scan: 4 IPs from 194.26.29.0/24 scanning 203.161.44.208"
"2024-08-19T18:50:00.000-0500","79.124.62.0/24","203.161.44.208",3,11,22,CRITICAL,"Coordinated botnet scan: 3 IPs from 79.124.62.0/24 scanning 203.161.44.208"
